Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_dense_0_dropout,0,0,0,0,0,0,0
params_dense_0_units,533.33,75.28,550,462.5,600,450,600
params_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_dense_3_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_3_units,No data,No data,No data,No data,No data,No data,No data
params_dense_4_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_4_units,No data,No data,No data,No data,No data,No data,No data
params_num_dense_layers,1,0,1,1,1,1,1
