Parameter,Category,Fraction,Count
params_cheb_0_act,relu,0.3333,2
params_cheb_0_act,sigmoid,0.3333,2
params_cheb_0_act,elu,0.1667,1
params_cheb_0_act,none,0.1667,1
params_cheb_1_act,elu,0.5,3
params_cheb_1_act,tanh,0.1667,1
params_cheb_1_act,gelu,0.1667,1
params_cheb_1_act,none,0.1667,1
params_cheb_2_act,relu,0.75,3
params_cheb_2_act,gelu,0.25,1
params_cheb_3_act,gelu,1.0,2
params_dense_0_act,silu,0.25,1
params_dense_0_act,none,0.25,1
params_dense_0_act,gelu,0.25,1
params_dense_0_act,tanh,0.25,1
params_dense_1_act,tanh,0.5,2
params_dense_1_act,none,0.25,1
params_dense_1_act,gelu,0.25,1
params_dense_2_act,elu,0.3333,1
params_dense_2_act,tanh,0.3333,1
params_dense_2_act,silu,0.3333,1
params_optimizer,lion,0.3333,2
params_optimizer,adam,0.3333,2
params_optimizer,sgd,0.1667,1
params_optimizer,adamw,0.1667,1
